span,type,count
PLM,S,3
推广方案,S,3
采购工作,S,3
售后问题,S,3
费用报销,S,3
年度审计,S,3
采购谈判能力,S,3
项目开发计划,S,3
8D报告的及时回复,S,3
市场推广建议,S,3
解决协调,S,3
售前售后问题,S,3
建立健全质量管理体系,S,3
制定销售策略与规划,S,3
改善措施的效果验证,S,3
竞争、市场分析,S,3
案例研究,S,3
制定相应的市场营销策略,S,3
定义,S,3
时间管理,S,3
范围与变更管理,S,3
编制报价单,S,3
资金计划,S,3
新产品导入及量产产品的过程管控,S,3
研发工作,S,3
分析整理,S,3
制定商务拓展策略,S,3
闭环管理,S,3
统筹管理,S,3
申请,S,3
文件撰写,S,3
异常解决,S,3
调试经验,S,3
翻译工具和平台,S,3
商务接洽,S,3
过程管控,S,3
BD,S,3
大客户销售,S,3
区域销售,S,3
整理客户信息,S,3
合作,S,3
商务合作,S,3
归档管理,S,3
项目进度表,S,3
监控进度,S,3
市场渠道开发拓展,S,3
执行技巧,S,3
现场监装,S,3
客户的拓展与维护,S,3
管理作业,S,3
Angular,S,3
SQL语法,S,3
数据库工具,S,3
优化内容,S,3
内容迭代,S,3
创意方案输出,S,3
总结方法论,S,3
韩语口译,S,3
数据对比和研究,S,3
提出方案建议,S,3
跟踪和评估,S,3
收集和整理公司薪酬福利数据,S,3
控制人力资源成本,S,3
评估和分析,S,3
收集和分析相关数据,S,3
总结和推广,S,3
行政类工作,S,3
整合多种来源和不同格式的数据,S,3
挖掘数据背后潜在的价值,S,3
产品上线,S,3
数据规划,S,3
数据分析的能力,S,3
设计变更确认,S,3
焊接,S,3
执行项目,S,3
总结销售情况,S,3
对策整改,S,3
client liaison,S,3
Guides project team resources,S,3
consistency,S,3
mentorship,S,3
工艺指导,S,3
签单,S,3
项目进度把控,S,3
战略规划,S,3
制定项目计划表,S,3
技术答疑,S,3
项目方案的完成,S,3
市场需求调研,S,3
流程改进,S,3
公关策划,S,3
团队职责分工,S,3
分解工作目标,S,3
安排具体工作任务,S,3
定义芯片级产品质量标准,S,3
有害物质管控,S,3
产品质量控制流程建立,S,3
关键节点和判定标准设定,S,3
流程审核,S,3
工程变更评估,S,3
EAR/MRB流程,S,3
ECN管控,S,3
SPC运行管理,S,3
纠正措施追踪管理,S,3
内外部稽核,S,3
失效分析处理,S,3
8D报告撰写,S,3
构建IC设计公司质量体系,S,3
客诉问题处理,S,3
报价管理,S,3
问题解决能力,S,3
售前支持,S,3
行动计划,S,3
建立纠正预防行动计划,S,3
改善督导,S,3
识别售后风险问题,S,3
确立采购计划,S,3
检查采购计划的实现,S,3
追踪供货商交付行动,S,3
指导包装管理,S,3
分析市场动态,S,3
翻译整理,S,3
尽职调查,S,3
下单流程,S,3
代码开发,S,3
版本控制,S,3
回收货款,S,3
安排出货,S,3
产品规划能力,S,3
组织项目启动会议,S,3
解决对策,S,3
工程变更的评审,S,3
日常办公软件的操作,S,3
外贸业务经验,S,3
国内市场开发,S,3
新顾客开发,S,3
预测市场,S,3
了解客户的需求和期望,S,3
顾客投诉处理,S,3
业务,S,3
电脑办公,S,3
同传,S,3
交传,S,3
主导产品故障原因分析,S,3
发布采购订单,S,3
供应商绩效管理,S,3
锂电设备方案,S,3
统筹项目,S,3
翻译韩语文档,S,3
竞品信息,S,3
销售指标达成,S,3
技术研究,S,3
项目培育,S,3
开拓计划,S,3
保密工作,S,3
阅读能力,S,3
制定措施化解潜在风险,S,3
解决现有问题,S,3
授课过程,S,3
先进的教学方法,S,3
会计经历,S,3
制定改进措施,S,3
对账工作,S,3
编制生产计划,S,3
增值服务,S,3
沟通经验,S,3
产品注册,S,3
质量改善活动,S,3
付款跟踪,S,3
BI,S,3
海外营销经验,S,3
宣讲,S,3
退休,S,3
劳动合同管理,S,3
工伤管理,S,3
出具相关报告,S,3
电话会议,S,3
协调各方资源,S,3
差距分析,S,3
开票业务,S,3
海外开拓经验,S,3
校对已翻译文件,S,3
development of the safety section,S,3
Assures consistency of plans,S,3
监控服务质量,S,3
ChatGPT,S,3
模拟电路设计,S,3
PCB级硬件电路设计,S,3
AD,S,3
Protel,S,3
故障分析能力,S,3
开拓海外业务,S,3
上传下达,S,3
内审,S,3
收集客户新产品信息,S,3
跟踪后续进展,S,3
组织公司各部门接受客户的供应商调查,S,3
新产品和批量产品工程更改,S,3
组织客户目标价分析,S,3
签署提名信,S,3
下达新产品开发任务书,S,3
产品实现全过程监控,S,3
组织客户小批量试装的提交,S,3
组织批量供货产品价格谈判,S,3
组织处理客户投诉,S,3
处理客户索赔,S,3
掌控谈判过程中的主动性,S,3
QC,S,3
ArcGIS,S,3
项目进度管理,S,3
BMS项目系统方案设计,S,3
客户端问题排查,S,3
报表编制,S,3
招聘实施,S,3
开发了解客户需求,S,3
了解公司各需求部门生产计划,S,3
采购供应商的审核和确认,S,3
传递国家关于进出口物资方面的政策法规,S,3
进出口货运代理资格的审核,S,3
进出口费用的确认,S,3
报告物流周转状况,S,3
物流作业作出全面总结,S,3
年度工作报告的作成,S,3
年度管理评审研讨,S,3
收集行业和竞争对手通路、营销手段,S,3
相关技能,S,3
XRD,S,3
涉外信函,S,3
施工管理经验,S,3
参观,S,3
统筹规划,S,3
考勤记录,S,3
推荐产品信息,S,3
挖掘和开发潜在客户,S,3
客情关系维护,S,3
产品异常处理,S,3
改善处理方案,S,3
收集市场行情,S,3
国际市场的开拓,S,3
优化产品和服务,S,3
设计方案评估,S,3
结构选择,S,3
试产调试,S,3
实现销售增长,S,3
交期跟进,S,3
归类和分析各类问题,S,3
客户沟通技巧,S,3
协调项目资源,S,3
优化内容策略,S,3
C/SKD导入生产方案,S,3
技术、质量人员培训,S,3
产品结构、功能和材料分析,S,3
制订产品技术条件和试验大纲,S,3
跟进各生产车间的产能进度,S,3
ERP/U9系统,S,3
跟踪处理,S,3
统筹物料需求计划,S,3
跟踪物料到货情况,S,3
物料库存管理,S,3
管理PMC团队,S,3
生产主计划制订,S,3
物料需求规划,S,3
生产进度监控,S,3
库存控制,S,3
解决生产过程问题,S,3
监控程控装置,S,3
追踪装运,S,3
追踪检查客户交错货物的金额,S,3
监管货物卸载,S,3
计算供货商的MPM,S,3
管理分拣区的报警系统,S,3
预订业务,S,3
可追踪性,S,3
标记,S,3
集装箱管理,S,3
安装物理报警系统,S,3
寻求生产率增益,S,3
现场安全管理,S,3
结果验证,S,3
编写中英文双语项目资料（APQP/PPAP）,S,3
技术评估资料,S,3
中英文互译,S,3
文档管理能力,S,3
开发国外客户,S,3
维护所负责的大客户关系,S,3
提出应对策略,S,3
项目启动会议,S,3
维护管理,S,3
统计能力,S,3
销售市场开拓经验,S,3
收集客户及竞争对手的信息,S,3
工艺验证,S,3
参观和审核文件,S,3
沟通处理,S,3
盘点,S,3
库存盘点,S,3
采购管理,S,3
翻译相关工作经验,S,3
设备安装,S,3
组织员工参与培训活动,S,3
组织公司员工进行相关团队建设活动,S,3
薪酬的核算及核对,S,3
项目规划,S,3
笔译功底,S,3
优化销售流程,S,3
国际业务开发能力,S,3
海外展会,S,3
液压系统技术服务,S,3
液压系统开发,S,3
运行维护操作经验,S,3
日常核算,S,3
需求管理,S,3
反馈跟踪,S,3
办公软件操作技能,S,3
模块开发代码编写,S,3
.Net,S,3
海外市场拓展,S,3
研究市场,S,3
翻译软件及工具,S,3
跨文化交流,S,3
编写技术文档,S,3
Queue monitoring,S,3
BI checking,S,3
handover work,S,3
Real time customer support,S,3
Ensure process quality,S,3
forwards the information to the Medical Director for review,S,3
法律咨询,S,3
同行分析,S,3
产品和品牌推广,S,3
主持项目组的相关会议,S,3
安全管控,S,3
国际市场商务谈判,S,3
识图纸,S,3
收集潜在客户资料,S,3
收取应收帐款,S,3
接线图,S,3
操作培训,S,3
技术文件的编制,S,3
解决客户的问题,S,3
跟进生产,S,3
开展,S,3
解决试制/生产过程中与产品结构、材料等设计有关的问题,S,3
分析工时差异性的原因,S,3
计算机软件,S,3
供应商的开发,S,3
人才梯队,S,3
口语沟通交流,S,3
协调内外部关系,S,3
分配小组成员的工作,S,3
日程,S,3
撰写公司宣发内容资讯、文章、PPT等文案,S,3
检索及查阅文献,S,3
推送,S,3
日文医药领域翻译经验,S,3
产品解决方案,S,3
维护良好的员工关系,S,3
开拓日本市场,S,3
推广公司,S,3
选品规划,S,3
运营规划,S,3
店铺供应链管理,S,3
国际市场开拓,S,3
跟进行业动态,S,3
获取线索和商机,S,3
拓展客户关系,S,3
传递客户需求,S,3
驱动价值链,S,3
行政支持,S,3
移交,S,3
支付,S,3
互译工作,S,3
改善行动计划,S,3
分销网络,S,3
医疗展会,S,3
广告宣传,S,3
培训产品特色,S,3
临床使用方法,S,3
售后培训,S,3
性能分析,S,3
Java开发,S,3
Shell脚本编写,S,3
人员招聘,S,3
收集客户对产品需求,S,3
项目管理技能,S,3
物流服务,S,3
设计有竞争力的物流方案,S,3
存储,S,3
备份,S,3
开展市场调研,S,3
现场质量改善确认,S,3
返修品的处理,S,3
实施策划产品的检验,S,3
Cadence,S,3
PLUS,S,3
准备投标资料,S,3
测试样机,S,3
组织质量改善工作,S,3
不良品的管理,S,3
策划实施质量相关活动,S,3
推动质量改善项目落地,S,3
处理客户投诉的质量问题,S,3
跟踪订单的执行情况,S,3
解决客户在使用产品过程中遇到的问题,S,3
编制销售报告,S,3
年度预算,S,3
中日翻译,S,3
实际操作经验,S,3
参观讲解,S,3
包装,S,3
协助,S,3
WiFi实验室自动化工具开发,S,3
BUG维护,S,3
测试工具开发,S,3
改进意见,S,3
撰写报告,S,3
专业培训与交流,S,3
翻译的专业水平,S,3
把控,S,3
员工招聘,S,3
跟踪行业技术发展趋势,S,3
安排发货计划,S,3
维修看线,S,3
进度跟踪维护,S,3
改善优化提案,S,3
评估营销预算及推广效果,S,3
制定生产计划,S,3
确定国家市场策略,S,3
销售执行力,S,3
人才选拔,S,3
3D软件,S,3
制程改进,S,3
5Why分析,S,3
韩语翻译能力,S,3
分析竞争对手动态,S,3
分析竞争对手,S,3
方案对比,S,3
处置,S,3
准备销售报告,S,3
8D手法,S,3
产品检验,S,3
培训员工,S,3
人力资源工作,S,3
设计物流方案,S,3
员工关系维护,S,3
5S管理,S,3
查阅材料研发相关的英文文献,S,3
阅读日语文献,S,3
日语交流,S,3
开发和维护行业大客户关系,S,3
制定并实施招聘计划,S,3
PADS,S,3
商务合同谈判,S,3
签署,S,3
稿件撰写,S,3
视频剪辑能力,S,3
发掘潜在国外客户,S,3
维护公司现有客户资源,S,3
基础护理工作,S,3
责任制整体护理,S,3
重症病人的护理,S,3
抢救,S,3
收集数据,S,3
发掘新客户,S,3
开拓业务,S,3
国际业务推广,S,3
监测,S,3
解决处理方案,S,3
管理工作经验,S,3
Trados,S,3
改善建议,S,3
现场管理,S,3
现场持续改善,S,3
项目过程管控,S,3
项目风险规避,S,3
客户群开发,S,3
内控体系的建设,S,3
制定经营决策,S,3
处理客户提出的一些涉及产品技术方面的问题,S,3
制作相应技术资料,S,3
评估产品是否可以开模,S,3
更改修正,S,3
BSE经验,S,3
资源开发,S,3
汇报项目进展,S,3
平台运营,S,3
市场信息调研,S,3
商机跟进,S,3
产品线规划,S,3
招标,S,3
支持经销商的市场推广,S,3
开发国外新客户,S,3
领英,S,3
不合格品处置,S,3
客户抱怨,S,3
质量问题发现,S,3
纠正措施的跟踪,S,3
客户依赖的满足,S,3
客户资料及客户监察的对应,S,3
产品检具的有效性确认,S,3
问题点的识别与修正,S,3
设计变更及工程变更的对应,S,3
产品测定用检具作成,S,3
品质标准资料作成,S,3
数据采集,S,3
数据分析和处理,S,3
处理生产过程中出现的质量问题,S,3
管理和拓展公司海外市场,S,3
日语同传,S,3
下沉,S,3
视频编辑能力,S,3
员工绩效评估,S,3
跟踪实施效果,S,3
技术文档,S,3
指导员工,S,3
制定市场策划,S,3
收集市场需求,S,3
协调内外信息交流,S,3
寻求销售机会,S,3
处理复杂的市场信息和客户反馈,S,3
订单,S,3
新产品,S,3
安全渗透测试,S,3
漏洞检测,S,3
安全防护,S,3
数据防泄漏,S,3
管理员权限回收,S,3
应用开发安全,S,3
数据安全,S,3
合并报表编制,S,3
可靠性测试,S,3
阿里巴巴,S,3
经营策略案,S,3
追踪销售预算指标,S,3
订单总量,S,3
管理各客户之价格策略,S,3
管理各销售人员及应用技术人员的月度出差计划,S,3
明确销售课、应用技术课、销售助理的工作安排,S,3
制定客户优先等级,S,3
协调销售部门及相关客户服务部门之资源,S,3
管理及监督客户周期内及超周期之回款计划,S,3
管理及追踪完成度,S,3
管理及监督各销售人员之相关销售报表,S,3
确认我司产品占各客户之每月、每季度、每半年、每年度销售量份额,S,3
价格水准,S,3
管理及监督应用技术课之新品规格评审,S,3
报价需要工程流动,S,3
认定品客诉组织对应,S,3
认定品量产交接品质部门,S,3
汇总及提供事业部各相关部门认定品追踪管理表,S,3
管理及监督销售助理之日常出货统计,S,3
在线成本,S,3
SAP数据,S,3
定期盘点,S,3
行政工作,S,3
管理及监督销售部门人员所有对客户的反馈讯息,S,3
纠正及辅导,S,3
确认各客户对销售人员之满意度,S,3
产能扩充计划之建议案,S,3
组织销售课人员以及应用技术课人员定期收集相关市场讯息,S,3
新技术规格趋势,S,3
周报,S,3
服务支持,S,3
制定并执行销售计划,S,3
收集和分析客户反馈,S,3
编写检验文件,S,3
精益生产,S,3
员工入离职手续办理,S,3
绘制,S,3
制定本区域营销计划,S,3
分解销售目标,S,3
专业翻译,S,3
跟进生产进度,S,3
模具评审,S,3
专利信息的跟踪监控,S,3
人事管理,S,3
合规,S,3
统筹海外人事运营业务,S,3
海外人力资源服务供应商的寻源与管理,S,3
处理海外员工关系问题,S,3
海外人事管理经验,S,3
制定对策,S,3
外贸工作,S,3
沟通制定开发方案及指标,S,3
新产品规格定义,S,3
新产品立项,S,3
产品文档资料输出,S,3
客户产品资料输出,S,3
优化提升产品竞争力,S,3
国际市场开发,S,3
PPM报告,S,3
合理化建议,S,3
研究目标市场的文化、经济、政策,S,3
技术可行性,S,3
调整产品结构,S,3
专利布局,S,3
报销,S,3
搭建人才梯队,S,3
独立开发客户的能力,S,3
准备客户的需要,S,3
分析客户交错货物的金额,S,3
准备每月的销售和运营计划,S,3
选择,S,3
海外市场,S,3
人力资源管理,S,3
平衡,S,3
灵活运用,S,3
展会筹备,S,3
项目会议,S,3
注塑智能装备产品销售,S,3
促进长期合作,S,3
确保区域销售活动的顺利进行,S,3
发现趋势和改进机会,S,3
国内外出差,S,3
评估客户的需求规范,S,3
编写与审核设备的风险评估报告,S,3
汇报销售情况及市场分析报告,S,3
PCB设计软件,S,3
业务能力,S,3
掌握本市场的变化和竞争对手情况,S,3
执行计划,S,3
政策方案,S,3
季度报告,S,3
产品报告,S,3
接待服务,S,3
建议及改善方案,S,3
绩效考核目标,S,3
新产品的开发,S,3
推广任务,S,3
销售团队的建设,S,3
市场活动的策划,S,3
举办,S,3
举办城市推广会,S,3
作成部品级,S,3
Quality controls,S,3
reportability assessment,S,3
literature surveillance,S,3
development,S,3
creation,S,3
SAE reconciliation,S,3
analysis,S,3
generation,S,3
signal detection,S,3
consistency of plans,S,3
presentation,S,3
kick-off,S,3
coordinates,S,3
保管库存现金,S,3
更新推广信息,S,3
执行年度展会,S,3
市场活动计划实施,S,3
薪酬核算,S,3
绩效指标分解,S,3
报表解读,S,3
识别风险,S,3
协调客户需求,S,3
ICP,S,3
对接与沟通,S,3
建立和维护国外代理商关系,S,3
策划与实施国际品牌形象,S,3
销售开发经验,S,3
开拓美洲市场的新客户,S,3
挖掘市场潜力,S,3
制定和执行市场拓展策略,S,3
样品的处理,S,3
货款的回笼跟进,S,3
参与制定美洲市场的销售计划和目标,S,3
参与展会及市场推广活动,S,3
营业额管理,S,3
商品安全管理,S,3
门店销售经验,S,3
联系和面试候选人,S,3
筛选并提供候选人反馈,S,3
更新和维护招聘信息,S,3
制定招聘策略,S,3
推进招聘工作,S,3
开拓渠道,S,3
供应商评估,S,3
手焊烙铁,S,3
手动螺丝,S,3
话术,S,3
OS/内存栈/诊断栈/通信栈/系统服务栈/bootloader等模块开发,S,3
收集整理应用系统需求,S,3
制定销售目标达成计划,S,3
拜访本区域的重要客户,S,3
维护并开拓用户渠道,S,3
电用表,S,2
电流计,S,2
客户信息整理,S,2
生产通知下达,S,2
新项目同步设计,S,2
汽车内饰件产品设计,S,2
产品设计任务,S,2
设计任务管理,S,2
市场信息反馈,S,2
到货跟踪,S,2
编制项目预算,S,2
监控项目成本,S,2
项目技术方案的评审,S,2
优化供应链管理,S,2
监控零部件的生产过程,S,2
协调解决项目中的技术难题,S,2
识别项目中的潜在风险,S,2
制定风险应对措施,S,2
跟踪项目进展,S,2
收集项目执行过程中的经验教训,S,2
项目管理流程的优化,S,2
询盘回复,S,2
制作技术方案,S,2
出口流程办理,S,2
商务洽谈合作,S,2
电话客服经验,S,2
交传经验,S,2
网球技能,S,2
评估交付风险,S,2
维护市场秩序,S,2
定价分析,S,2
开发和维护稳定的客户关系,S,2
沟通协调发货,S,2
技术研发,S,2
技术创新,S,2
Micro Tensor,S,2
Edge Impulse,S,2
深入了解客户需求,S,2
项目营收预估及追踪,S,2
制定PIC,S,2
保证PDP的达成,S,2
贯彻执行物流改进计划,S,2
审阅物料控制报告,S,2
提高物流供应商绩效,S,2
设备周月保养,S,2
了解市场情况,S,2
收集客户和竞争对手的信息,S,2
制定客户联络、拜访计划,S,2
销售合同签订及交付,S,2
管理业务风险,S,2
负责自主品牌海外经销商开发和维护,S,2
负责完成既定销售目标,S,2
做好客户的客情关系维护,S,2
商务和技术交流,S,2
推荐,S,2
制定产品市场开发目标及销售计划,S,2
月度/季度/年度销售总结分析报告,S,2
确认国际销售合同订单及价格,S,2
国际客户异常处理方案,S,2
竞争对手的动向调查,S,2
发掘潜在市场或潜在国际客户需求,S,2
开发海外代理商,S,2
客户商务谈判,S,2
客户订单跟踪,S,2
开发海外OEM客户,S,2
客户日常管理,S,2
监督采购流程执行,S,2
合规性审计,S,2
建立和完善采购内控体系,S,2
分析采购数据,S,2
供应商大会筹办,S,2
解决供应链中瓶颈问题,S,2
采购管理经验,S,2
经销商以及客户群开发,S,2
支持经销商的市场推广以及销售工作,S,2
翻译英文资料文件,S,2
管理市场团队,S,2
公关活动,S,2
协调市场活动,S,2
评估市场活动效果,S,2
优化市场预算分配,S,2
社交媒体营销经验,S,2
信息收集能力,S,2
评估项目风险点,S,2
订单的及时交付,S,2
售后服务的质量,S,2
贯彻落实公司的营销策略,S,2
年度销售的预测,S,2
确定销售部门目标体系,S,2
协助经销商进行市场开拓,S,2
销售谈判技巧,S,2
人力资源基础运营工作,S,2
劳动关系处理,S,2
社保办理,S,2
考勤处理,S,2
GC-MS,S,2
NMR,S,2
PL,S,2
审核境外企业的相关报账单据,S,2
总账,S,2
往来,S,2
费用,S,2
编制境外企业资产负债表,S,2
利润表,S,2
财务和office办公软件,S,2
SAP软件,S,2
推介公司的产品及品牌,S,2
仿真计算,S,2
试制跟踪,S,2
控制策略探讨,S,2
C语言编程经验,S,2
软件集成工作,S,2
软件代码的维护,S,2
bug的分析,S,2
电扶梯销售,S,2
提高产品质量,S,2
询价文件编制,S,2
设计问题的处理,S,2
电信系统设计,S,2
电气设计工作经验,S,2
申报并处理当地相关项目手续,S,2
执行和管理复杂项目的开发/业务工作,S,2
海外工作经验,S,2
项目风控,S,2
合同管理经验,S,2
投资管理能力,S,2
风险分析,S,2
履约管理,S,2
推进总装生产线新车型设备工艺规划,S,2
设备技术文件制定,S,2
新技术、新工艺及行业前沿发展趋势进行可行性分析,S,2
推进生产工艺革新,S,2
打造智慧总装车间,S,2
提案品质可靠、低成本的车辆构造,S,2
电控逻辑分析能力,S,2
业务改善意识及能力,S,2
市场营运,S,2
当地客户维护,S,2
汇总客户诉求,S,2
分析对策,S,2
掌控,S,2
工艺制订,S,2
维修保养建立,S,2
控制与管理,S,2
制程品质管理,S,2
产量目标管理,S,2
物料耗用管理,S,2
5S的执行,S,2
成本测算,S,2
调式,S,2
分析应对,S,2
CIM,S,2
EAP系统,S,2
介绍产品,S,2
建立客户销售台账,S,2
登记发货数量,S,2
催收客户在协定时间内回款,S,2
追踪与管理,S,2
制定品牌在俄语区域的营销策略,S,2
运营和维护,S,2
申购,S,2
合格入库,S,2
调研生物试剂海外市场信息,S,2
策划开展海外产品宣传,S,2
平台入驻,S,2
制作产品宣传、推广和培训资料,S,2
产品支持,S,2
建立稳定的客户关系,S,2
寻找目标客户,S,2
拓展和指导销售活动,S,2
分析产品,S,2
市场分析及判断能力,S,2
LinkedIn,S,2
建立部门员工培训机制,S,2
培训方案,S,2
制定详细的失效分析方案,S,2
实施计划,S,2
评估产品质量风险,S,2
拟定返工方案,S,2
纠正措施,S,2
设计和制作专用的失效分析工具,S,2
使用方法,S,2
参数的测试,S,2
VC语言,S,2
辅助分析工具,S,2
成本分析方法,S,2
管理合同,S,2
市场推广与宣传行动计划,S,2
会议纪要整理,S,2
模具审核,S,2
车身件冲压工艺设计,S,2
模具检具开发协调,S,2
CAE分析软件,S,2
优化方法,S,2
员工档案,S,2
制定符合当地市场的内容策略,S,2
策划并执行自媒体平台的内容策略,S,2
策划选题,S,2
内容执行,S,2
建立和维护良好的媒体关系,S,2
写作功底,S,2
自媒体平台工具,S,2
抖音,S,2
视频号,S,2
掌握新的知识和技能,S,2
寻找满足客户需求的技术解决方案,S,2
客户售前支持,S,2
跟进并管理产品售后及技术问题,S,2
分析产品销售及市场情况,S,2
对接并跟踪产品、项目交付流程,S,2
财务管理软件,S,2
office操作技巧,S,2
基建相关资料起草,S,2
审核总结,S,2
会前沟通,S,2
泰中双语翻译,S,2
各种技术条件表的做成,S,2
技术部文员相关工作,S,2
移动电源新客户开发,S,2
公司的流程和文件的发行,S,2
总结能力,S,2
制定文档开发计划,S,2
文档架构设计,S,2
组织文档评审,S,2
Indesign,S,2
memoQ,S,2
检索,S,2
结构化文档开发工具,S,2
图形编辑软件,S,2
实施工作,S,2
订舱,S,2
罚款纠纷处理,S,2
土工材料产品的设计,S,2
技术交流推广会,S,2
考察访问,S,2
产品经理工作经验,S,2
设计院推广类,S,2
项目统筹管理,S,2
风险应对,S,2
评估激励方案对员工工作积极性和公司业绩的影响,S,2
开立信用证,S,2
开发锯切工具、智能装备机床等产品的海外市场,S,2
电子办公软件,S,2
推销产品,S,2
建立合作关系,S,2
实施监督,S,2
下达生产订单,S,2
分析订单跟踪情况,S,2
分析与解决问题能力,S,2
Java后台开发,S,2
接口规范制定,S,2
核心代码编写,S,2
后台服务性能效率优化,S,2
制定海外产品和市场发展规划,S,2
制定发展策略,S,2
处理客户反馈的问题及客诉,S,2
出口相关的市场推广活动,S,2
接待外国客户,S,2
分析仪器使用,S,2
企划产品P0单,S,2
规划不同生命周期下产品策略,S,2
调查市场体量,S,2
竞品动向,S,2
产品毛利监控,S,2
参展推广产品,S,2
会议报告材料的筹备,S,2
市场规划经验,S,2
成品经验,S,2
PM经验,S,2
终端PM经验,S,2
产品或市场经验,S,2
甄选,S,2
起草公司文件,S,2
撰写公文,S,2
分析相关招聘报表,S,2
数据分析报表,S,2
招聘流程,S,2
人才储备机制,S,2
招聘工作经验,S,2
市场经验,S,2
测试计划,S,2
执行测试用例,S,2
电烙铁,S,2
社交媒体维护,S,2
意语新闻翻译,S,2
视频编辑软件,S,2
工艺工程,S,2
计划物控,S,2
施工,S,2
全过程管理,S,2
管理项目团队,S,2
运维流程,S,2
订单出口相关工作,S,2
订单业务处理,S,2
项目信息收集,S,2
商务会议,S,2
销售预算,S,2
解答客户、销售和经销商的各种产品、技术、应用的相关问题,S,2
分析和解决产品在现场产生的问题,S,2
电脑基本软件操作,S,2
国际业务开拓计划,S,2
订单管控,S,2
订单流转,S,2
售后服务管控,S,2
产品开发建议,S,2
实操工作经验,S,2
保管工作,S,2
账单核对,S,2
校核,S,2
试产进度跟踪,S,2
货款以及其他费用的跟踪,S,2
结构设计方案,S,2
技术讲解,S,2
诊断疾病,S,2
制定治疗方案,S,2
跟踪治疗效果,S,2
设计特长,S,2
制定本部门的年度工作目标和各阶段工作目标,S,2
改善措施的确认与跟进,S,2
回复不良分析报告,S,2
验收工作,S,2
监督执行方案,S,2
ECN的执行跟踪,S,2
考评及培训,S,2
品质改善活动,S,2
创意设计,S,2
了解合同执行情况,S,2
了解客户满意程度,S,2
识别每个应用程序所需的最关键数据,S,2
确定哪些业务流程需要集中式/全局治理,S,2
确定所需的信息治理策略,S,2
撰写和提交报告,S,2
建模系统架构,S,2
创建可行的数据主导解决方案,S,2
创建和管理所有形式的业务信息模型,S,2
数据产品的构建经验,S,2
数据报告编写经验,S,2
pyspark,S,2
spark,S,2
hive,S,2
flink,S,2
一般贸易进出口,S,2
设备进出口,S,2
保税业务管理,S,2
完成上级交代的其他任务,S,2
远程办公,S,2
监督项目运行状态,S,2
项目团队建设,S,2
project,S,2
对应,S,2
技术文件,S,2
升压电感的设计指引,S,2
电气控制线路设计,S,2
CAD绘图,S,2
运行管理维护,S,2
销售网络,S,2
应收款回款,S,2
偏差分析,S,2
规格制定,S,2
解决措施推进,S,2
DV,S,2
开发海外目标客户,S,2
维护所负责区域的重要客户,S,2
挖掘问题,S,2
专业性支持,S,2
终端客户关系建设,S,2
关注区域内注册招标信息,S,2
市场维护,S,2
英语商务和技术文件的笔译,S,2
现场考察口译,S,2
英语翻译经验,S,2
招聘管理,S,2
汇总整理,S,2
起草信函、演讲稿、报告、文件等各类综合性文件,S,2
引导接待服务,S,2
装备开发,S,2
跟踪订单进展,S,2
撰写初步评价报告,S,2
审阅相关选矿专业资料,S,2
评价选冶生产工艺,S,2
对比分析历史数据,S,2
分析设备情况,S,2
审查评价选冶相关环保、安全、卫生工作,S,2
选矿运营风险识别防控,S,2
市场拓展与开发,S,2
识别潜在客户群体,S,2
制定并实施市场进入策略,S,2
扩大业务覆盖范围,S,2
促进订单成交,S,2
产品推广与营销,S,2
产品宣传资料的翻译,S,2
参与制定并执行海外营销策略,S,2
研讨会,S,2
提升品牌知名度,S,2
准备和审核销售合同,S,2
完成合同签订流程,S,2
了解CRM系统操作,S,2
评审要求和规格说明,S,2
定义测试条件,S,2
记录和报告结果,S,2
分析和报告测试活动和结果,S,2
分析市场竞争趋势,S,2
技术挑战,S,2
方法,S,2
指导部门的技术发展和应用,S,2
消除与规格说明的差异和错误,S,2
建立编程工具和技术的标准,S,2
准备项目计划,S,2
质量计划,S,2
系统核心模块的编码,S,2
评估项目实现中可能发生的各种风险,S,2
规避技术风险,S,2
评估开发人员工作结果的正确性,S,2
制定产品/项目数据存储解决方案,S,2
推动大规模或复杂需求变更工作的范围定义与优先级确定,S,2
推动需求实现流程,S,2
识别所需的干系人需求输入,S,2
需求变更方案范围的调查与应用,S,2
安卓系统FW相关开发经验,S,2
Android开发经验,S,2
Audio Framework,S,2
业主关系维护,S,2
外围关键关系处理,S,2
新直营项目的评估,S,2
实施和调整,S,2
资产管理能力,S,2
月结,S,2
人事日常业务工作,S,2
节点管控,S,2
信息共享,S,2
联合营销,S,2
产品建设,S,2
构建该区域的销售体系,S,2
处理事务,S,2
数据分析和处理能力,S,2
四轴、六轴机械手调试,S,2
软件架构设计经验,S,2
进出口货物报关报检操作流程,S,2
商品归类经验,S,2
撰写高质量的工作文案和报告,S,2
进出口商品归类,S,2
规范申报,S,2
属地/口岸海关业务办理,S,2
海关验估/查验/稽查/核查/调研,S,2
异常问题的沟通、协调和解决,S,2
创作高质量的图文、短视频内容,S,2
动画制作,S,2
3D建模能力,S,2
指定保养计划,S,2
编制电器设备更新及大修等计划,S,2
排除电器设备的各种故障,S,2
推广使用,S,2
ISO,S,2
整理收集,S,2
项目进度控制,S,2
项目计划的制定,S,2
报告项目进展,S,2
收集产品反馈信息,S,2
总结项目经理,S,2
